feature,mean_abs_shap,rank
cesd,0.030969814746394948,1.0
jspe,0.02999587355949111,2.0
sex_1,0.026932878864179444,3.0
glang_15,0.02598831192430322,4.0
stud_h,0.02255008156564208,5.0
health_1,0.018682325248884378,6.0
stai_t,0.013921546452987566,7.0
sex_2,0.013211757768178494,8.0
glang_121,0.006600973108031141,9.0
glang_20,0.006481511352363833,10.0
qcae_cog,0.0023927346086253824,11.0
glang_90,0.001589866295456377,12.0
psyt,0.0,26.0
age,0.0,26.0
year,0.0,26.0
qcae_aff,0.0,26.0
sex_3,0.0,26.0
glang_1,0.0,26.0
glang_37,0.0,26.0
glang_54,0.0,26.0
glang_60,0.0,26.0
erec_mean,0.0,26.0
amsp,0.0,26.0
glang_92,0.0,26.0
glang_63,0.0,26.0
glang_98,0.0,26.0
glang_102,0.0,26.0
glang_108,0.0,26.0
glang_114,0.0,26.0
glang_104,0.0,26.0
glang_106,0.0,26.0
glang_120,0.0,26.0
glang_118,0.0,26.0
job_0,0.0,26.0
job_1,0.0,26.0
health_2,0.0,26.0
health_3,0.0,26.0
health_4,0.0,26.0
health_5,0.0,26.0
