feature,mean_abs_shap,ci_low,ci_high
amsp,0.010281562449469709,,
glang_1,0.005774028080002691,,
erec_mean,0.000924681786797632,,
health_2,0.0007472609113766543,,
age,0.0,,
year,0.0,,
stud_h,0.0,,
qcae_aff,0.0,,
qcae_cog,0.0,,
jspe,0.0,,
psyt,0.0,,
stai_t,0.0,,
sex_1,0.0,,
sex_2,0.0,,
cesd,0.0,,
glang_15,0.0,,
glang_20,0.0,,
glang_37,0.0,,
glang_54,0.0,,
glang_60,0.0,,
glang_63,0.0,,
glang_90,0.0,,
sex_3,0.0,,
glang_92,0.0,,
glang_98,0.0,,
glang_104,0.0,,
glang_102,0.0,,
glang_108,0.0,,
glang_114,0.0,,
glang_118,0.0,,
glang_106,0.0,,
glang_120,0.0,,
glang_121,0.0,,
job_1,0.0,,
job_0,0.0,,
health_1,0.0,,
health_3,0.0,,
health_4,0.0,,
health_5,0.0,,
