feature,mean_abs_shap,ci_low,ci_high
stai_t,0.01688222988732337,,
jspe,0.013195908617743602,,
erec_mean,0.005756111719095386,,
amsp,0.005516542713353961,,
age,0.005265433838494399,,
glang_1,0.003773324487807364,,
psyt,0.002832082658463392,,
qcae_cog,0.001931383104645068,,
health_2,0.0006598636043134487,,
year,0.0,,
stud_h,0.0,,
qcae_aff,0.0,,
cesd,0.0,,
sex_2,0.0,,
sex_1,0.0,,
glang_15,0.0,,
glang_20,0.0,,
glang_37,0.0,,
glang_54,0.0,,
glang_60,0.0,,
glang_63,0.0,,
glang_90,0.0,,
sex_3,0.0,,
glang_92,0.0,,
glang_98,0.0,,
glang_104,0.0,,
glang_102,0.0,,
glang_108,0.0,,
glang_114,0.0,,
glang_118,0.0,,
glang_106,0.0,,
glang_120,0.0,,
glang_121,0.0,,
job_1,0.0,,
job_0,0.0,,
health_1,0.0,,
health_3,0.0,,
health_4,0.0,,
health_5,0.0,,
