model,feature,importance,rank,direction,method,ci_low,ci_high
LR,amsp,0.010281562449469709,1.0,↑,permutation_only,,
LR,glang_1,0.005774028080002691,2.0,↑,permutation_only,,
LR,erec_mean,0.000924681786797632,3.0,↑,permutation_only,,
LR,health_2,0.0007472609113766543,4.0,↑,permutation_only,,
LR,age,0.0,22.0,↓,permutation_only,,
MLP,cesd,0.030969814746394948,1.0,↑,permutation_only,,
MLP,jspe,0.02999587355949111,2.0,↑,permutation_only,,
MLP,sex_1,0.026932878864179444,3.0,↓,permutation_only,,
MLP,glang_15,0.02598831192430322,4.0,↑,permutation_only,,
MLP,stud_h,0.02255008156564208,5.0,↑,permutation_only,,
RF,age,0.003844666505551565,1.0,↓,permutation_only,,
RF,health_3,0.003570957956036948,2.0,↑,permutation_only,,
RF,cesd,0.0023633229072731188,3.0,↑,permutation_only,,
RF,stai_t,0.0019775033290351544,4.0,↑,permutation_only,,
RF,amsp,0.0015227350585668097,5.0,↑,permutation_only,,
XGB,stai_t,0.01688222988732337,1.0,↑,permutation_only,,
XGB,jspe,0.013195908617743602,2.0,↑,permutation_only,,
XGB,erec_mean,0.005756111719095386,3.0,↑,permutation_only,,
XGB,amsp,0.005516542713353961,4.0,↑,permutation_only,,
XGB,age,0.005265433838494399,5.0,↓,permutation_only,,
