feature,importance
age,0.049442314
year,0.03281048
stud_h,0.052854974
psyt,0.012307319
jspe,0.025539787
qcae_cog,0.042221393
qcae_aff,0.037946902
amsp,0.06529228
erec_mean,0.03860609
cesd,0.120985836
stai_t,0.05752409
sex_1,0.0068595586
sex_2,0.005753553
sex_3,0.0
glang_1,0.020358345
glang_15,0.0
glang_20,0.0
glang_37,0.031978235
glang_54,0.0
glang_60,0.0
glang_63,0.0
glang_90,0.10181204
glang_92,0.0
glang_98,0.0
glang_102,0.0
glang_104,0.0
glang_106,0.0
glang_108,0.0
glang_114,0.0
glang_118,0.022395648
glang_120,0.0
glang_121,0.0
job_0,0.019395864
job_1,0.025606167
health_1,0.0
health_2,0.05571724
health_3,0.040324874
health_4,0.09173233
health_5,0.042534634
