feature_name,feature,importance_gain
cesd,f9,8.256048202514648
health_4,f37,6.964907646179199
amsp,f7,4.248973846435547
health_2,f35,3.4346516132354736
stai_t,f10,3.2592506408691406
stud_h,f2,3.1405251026153564
health_3,f36,2.856447458267212
erec_mean,f8,2.4623560905456543
qcae_cog,f5,2.453556776046753
age,f0,2.3042476177215576
qcae_aff,f6,2.2815804481506348
glang_1,f14,1.91902494430542
year,f1,1.7881526947021484
psyt,f3,1.5991134643554688
job_0,f32,1.5208262205123901
jspe,f4,1.4600989818572998
sex_1,f11,1.3237407207489014
sex_2,f12,1.2617465257644653
job_1,f33,1.1749076843261719
