depth,mcw,lr,n_estimators,subsample,colsample,lambda,alpha,booster,rate_drop,skip_drop,spw_mode,cv_ap_agg,cv_ap_mean,cv_ap_std,mean_rounds
3,1.0,0.03,1500,0.9169536500409153,0.8895275236919731,2.0,0.1,gbtree,0.0,0.0,sqrt,0.13143699628887598,0.2304214961970622,0.09898449990818622,1500
3,3.0,0.03,2000,0.8500562916708533,0.8214300226882911,3.0,0.05,gbtree,0.0,0.0,sqrt,0.12946382690837283,0.23964780215310394,0.1101839752447311,2000
3,2.0,0.02,1200,0.8001168148761522,0.9488317338936826,1.0,0.3,gbtree,0.0,0.0,sqrt,0.13915921179636215,0.24863065490704256,0.10947144311068042,1200
4,2.0,0.01,2000,0.8034593637562124,0.8787161990387584,2.0,0.3,gbtree,0.0,0.0,sqrt,0.13955952139954975,0.251750557737425,0.11219103633787526,2000
4,3.0,0.02,1200,0.9177763942089521,0.829951067323754,5.0,0.3,gbtree,0.0,0.0,sqrt,0.14912583608991628,0.25714405260750367,0.10801821651758739,1200
3,3.0,0.01,1500,0.902046130788167,0.8675748877954315,2.0,0.3,gbtree,0.0,0.0,sqrt,0.14863025819877362,0.26338903536685415,0.11475877716808054,1500
3,2.0,0.02,1200,0.8456920653760056,0.8146508171009577,5.0,0.3,gbtree,0.0,0.0,sqrt,0.14610319279270226,0.2544788165307707,0.10837562373806844,1200
3,3.0,0.01,2000,0.8051582781672828,0.9363980603118173,5.0,0.05,gbtree,0.0,0.0,sqrt,0.15065672030495525,0.2639986956316105,0.11334197532665526,2000
4,2.0,0.02,1200,0.8311912494302284,0.8851550491729987,10.0,0.1,gbtree,0.0,0.0,sqrt,0.15371541828783908,0.26098708869440107,0.10727167040656198,1200
4,2.0,0.02,1200,0.9342241025641473,0.8896849968216628,5.0,0.0,gbtree,0.0,0.0,sqrt,0.14231092670715115,0.25106097163289076,0.10875004492573961,1200
4,1.0,0.01,1200,0.880953819858362,0.8880126748495772,1.0,0.3,gbtree,0.0,0.0,sqrt,0.1349409272488054,0.2570376502336833,0.12209672298487788,1200
4,1.0,0.01,800,0.9203295471131059,0.8111825965519657,1.0,0.3,gbtree,0.0,0.0,sqrt,0.13419128410651293,0.26102226795839745,0.12683098385188452,800
3,3.0,0.03,1500,0.9060286015771426,0.9093510752061481,1.0,0.1,gbtree,0.0,0.0,sqrt,0.13986234089975735,0.24805107318944908,0.10818873228969172,1500
3,2.0,0.03,1200,0.8173803589287695,0.929465513881339,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14206202744621965,0.24588252312034836,0.10382049567412871,1200
3,3.0,0.03,1200,0.8487774983040121,0.9094409267507095,3.0,0.1,gbtree,0.0,0.0,sqrt,0.1451876459066,0.24871101642439317,0.10352337051779317,1200
3,3.0,0.01,1500,0.9069867180834492,0.9141177572925346,2.0,0.1,gbtree,0.0,0.0,sqrt,0.1490716339509845,0.25888529874773136,0.10981366479674685,1500
3,2.0,0.03,1500,0.8784099244072991,0.8641311527537825,2.0,0.3,gbtree,0.0,0.0,sqrt,0.1365242904524802,0.23834106197645452,0.10181677152397432,1500
3,3.0,0.03,2000,0.895461561689567,0.847153397161449,5.0,0.05,gbtree,0.0,0.0,sqrt,0.13922143436802886,0.23952824565573744,0.10030681128770857,2000
3,3.0,0.03,800,0.880976163695251,0.8304591837102154,10.0,0.3,gbtree,0.0,0.0,sqrt,0.1510861220396657,0.2666443005595144,0.11555817851984869,800
3,3.0,0.03,1200,0.9320701758522887,0.893653107220069,1.0,0.0,gbtree,0.0,0.0,sqrt,0.1415303948010575,0.24166449411828494,0.10013409931722743,1200
4,2.0,0.02,1500,0.8486517531507911,0.818313193205101,1.0,0.1,gbtree,0.0,0.0,sqrt,0.13804364819191467,0.24228849484254866,0.10424484665063398,1500
4,1.0,0.01,800,0.8971535180812044,0.8000780565492974,10.0,0.0,gbtree,0.0,0.0,sqrt,0.14975443641316075,0.27633334174730095,0.1265789053341402,800
3,3.0,0.02,2000,0.8801134129063163,0.8727244957038475,1.0,0.1,gbtree,0.0,0.0,sqrt,0.13403011246201046,0.23787176513196415,0.10384165266995368,2000
4,3.0,0.03,1200,0.8328146329359606,0.8837153003026011,5.0,0.0,gbtree,0.0,0.0,sqrt,0.14299052815209568,0.2481556518844899,0.10516512373239424,1200
4,1.0,0.02,2000,0.8370314094257902,0.9044456409259682,3.0,0.0,gbtree,0.0,0.0,sqrt,0.13605796860788233,0.2385613786393144,0.10250341003143208,2000
3,1.0,0.01,1500,0.8914346500969845,0.8754018534843292,10.0,0.3,gbtree,0.0,0.0,sqrt,0.14757231562994383,0.27561335728352676,0.12804104165358293,1500
3,1.0,0.03,1200,0.8217342308136835,0.8734179140416345,5.0,0.1,gbtree,0.0,0.0,sqrt,0.13823172549536802,0.24828179387432223,0.1100500683789542,1200
3,3.0,0.01,1500,0.9204709634569843,0.8705450951669058,2.0,0.05,gbtree,0.0,0.0,sqrt,0.1477369349289083,0.2559827959740563,0.10824586104514802,1500
4,3.0,0.03,2000,0.9197517687476826,0.8226076315948144,3.0,0.05,gbtree,0.0,0.0,sqrt,0.14116622777058002,0.2440841113910341,0.10291788362045405,2000
4,1.0,0.03,2000,0.8488938357802828,0.8330361571348323,2.0,0.1,gbtree,0.0,0.0,sqrt,0.13407280970662117,0.2408900036382885,0.10681719393166733,2000
3,3.0,0.03,2000,0.9410784896734405,0.8596358031631284,2.0,0.3,gbtree,0.0,0.0,sqrt,0.1390073119193624,0.24123223449353456,0.10222492257417218,2000
3,3.0,0.01,800,0.8313607431106571,0.8812171960741348,2.0,0.1,gbtree,0.0,0.0,sqrt,0.15153171517510597,0.28386564063257125,0.13233392545746528,800
3,2.0,0.01,2000,0.879447586753401,0.8362778436350677,5.0,0.0,gbtree,0.0,0.0,sqrt,0.1456469264544747,0.2590626290303799,0.1134157025759052,2000
3,3.0,0.03,800,0.8418307028888273,0.9050536744959157,3.0,0.3,gbtree,0.0,0.0,sqrt,0.14842718222276666,0.2569468279352147,0.10851964571244807,800
4,2.0,0.01,2000,0.9276392673151269,0.9403452491331421,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14774113073718814,0.2564895105763539,0.10874837983916574,2000
4,2.0,0.03,2000,0.8152207314299048,0.8995252653662084,10.0,0.05,gbtree,0.0,0.0,sqrt,0.13884494158713523,0.2477608097542863,0.10891586816715108,2000
4,2.0,0.02,1200,0.903784279653904,0.8977941889253901,1.0,0.3,gbtree,0.0,0.0,sqrt,0.1473498309672404,0.2475323108788039,0.10018247991156347,1200
3,1.0,0.02,800,0.8268234063831994,0.854970317687429,3.0,0.0,gbtree,0.0,0.0,sqrt,0.1433608879740872,0.2562386719658014,0.11287778399171422,800
4,1.0,0.03,1500,0.8954498927278843,0.8375692727908376,10.0,0.1,gbtree,0.0,0.0,sqrt,0.14496150734984,0.25706898255373983,0.11210747520389983,1500
4,3.0,0.03,1200,0.8525117611542014,0.8967655043045847,1.0,0.0,gbtree,0.0,0.0,sqrt,0.1386687922801194,0.24634617532476596,0.10767738304464657,1200
4,1.0,0.03,2000,0.8036473949647182,0.8968208443860751,1.0,0.3,gbtree,0.0,0.0,sqrt,0.13738734923408918,0.24117549858090997,0.10378814934682078,2000
4,2.0,0.01,1200,0.9372296585330673,0.8555238050383167,1.0,0.0,gbtree,0.0,0.0,sqrt,0.1442116849029763,0.2472016669876734,0.10298998208469709,1200
4,1.0,0.01,1200,0.9449982228565503,0.9445429965633879,1.0,0.3,gbtree,0.0,0.0,sqrt,0.13697584266019183,0.255447648599626,0.11847180593943415,1200
3,1.0,0.01,2000,0.9276705007275285,0.8475383007734416,2.0,0.0,gbtree,0.0,0.0,sqrt,0.13169792535785818,0.23731584912781914,0.10561792376996094,2000
4,3.0,0.02,1200,0.9395025252216247,0.8105624196274316,2.0,0.3,gbtree,0.0,0.0,sqrt,0.14438410974017565,0.24553881130035798,0.10115470156018233,1200
